	num
山东	84929
江苏	70039
河南	58901
河北	52917
浙江	50397
安徽	36134
四川	34678
广东	31925
上海	26929
辽宁	23134
湖北	22093
陕西	20467
湖南	18076
北京	16580
重庆	15256
广西	13709
天津	12192
福建	11566
吉林	8137
江西	7272
山西	7062
内蒙古	6765
贵州	6029
云南	4592
甘肃	4190
新疆	3866
黑龙江	3849
宁夏	1923
海南	1136
青海	623
西藏	53
疆	4
东	2
陕酉	1
某某	1
北	1
某苏	1
西	1
